Input	Result	BioCyc Common-Name	BioCyc	Kegg	ChEBI	PubChem	HMDB	ChemSpider	MetaboLights	MetaNetX	BiGG	Seed	Inchi
Kegg:C0264	success	3-ureidopropanoate	3-UREIDO-PROPIONATE	C02642	11892	6971254	HMDB00026	5342107	MTBLC11892	MNXM802	 	cpd01720	InChI=1S/C4H8N2O3/c5-4(9)6-2-1-3(7)8/h1-2H2,(H,7,8)(H3,5,6,9)/p-1
Kegg:C0294	success	4-acetamidobutanoate	CPD-35	C02946	11951	6991994	HMDB03681	5360158	MTBLC11951	MNXM2083	 	cpd01889	InChI=1S/C6H11NO3/c1-5(8)7-4-2-3-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)/p-1
Kegg:C0103	success	4-guanidinobutanoate	CPD-592	C01035	57486	25200642	HMDB03464	 	MTBLC57486	MNXM1312	 	cpd00762	InChI=1S/C5H11N3O2/c6-5(7)8-3-1-2-4(9)10/h1-3H2,(H,9,10)(H4,6,7,8)
Kegg:C0117	success	3-(4-hydroxyphenyl)pyruvate	P-HYDROXY-PHENYLPYRUVATE	C01179	36242	6971070	HMDB00707	5341947	MTBLC36242	MNXM153	 	cpd00868	InChI=1S/C9H8O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)/p-1
Kegg:C0023	success	4-methyl-2-oxopentanoate	2K-4CH3-PENTANOATE	C00233	17865	3527278	HMDB00695	2766269	MTBLC17865	MNXM404	4mop	cpd00200	InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)/p-1
Kegg:C0562	success	4-vinylphenol	CPD-1075	C05627	1883	62453	HMDB04072	10752392	 	MNXM6890	 	cpd03342	InChI=1S/C8H8O/c1-2-7-3-5-8(9)6-4-7/h2-6,9H,1H2
Kegg:C0042	success	5,6-dihydrouracil	DI-H-URACIL	C00429	15901	649	HMDB00076	629	MTBLC15901	MNXM506	 	cpd00337	InChI=1S/C4H6N2O2/c7-3-1-2-5-4(8)6-3/h1-2H2,(H2,5,6,7,8)
Kegg:C0359	success	5-methyl-2'-deoxycytidine	CPD-20408	C03592	47876	440055	 	 	 	 	 	 	InChI=1S/C10H15N3O4/c1-5-3-13(10(16)12-9(5)11)8-2-6(15)7(4-14)17-8/h3,6-8,14-15H,2,4H2,1H3,(H2,11,12,16)/t6-,7+,8+/m0/s1
Kegg:C0044	success	5-methyltetrahydropteroyl mono-L-glutamate	5-METHYL-THF	C00440	18608	135398560	HMDB01396	143	MTBLC18608	MNXM318	5mthf	cpd00345	InChI=1S/C20H25N7O6/c1-27-12(9-23-16-15(27)18(31)26-20(21)25-16)8-22-11-4-2-10(3-5-11)17(30)24-13(19(32)33)6-7-14(28)29/h2-5,12-13,22H,6-9H2,1H3,(H,24,30)(H,28,29)(H,32,33)(H4,21,23,25,26,31)/p-2/t12-,13-/m0/s1
Kegg:C0017	success	S-methyl-5'-thioadenosine	5-METHYLTHIOADENOSINE	C00170	17509	439176	HMDB01173	388321	MTBLC17509	MNXM150	5mta	cpd00147	InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1
Kegg:C0187	success	5-oxo-L-proline	5-OXOPROLINE	C01879	58402	5289118	HMDB00267	4451146	 	MNXM722719	 	cpd01293	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/p-1/t3-/m0/s1
Kegg:C0224	success	N7-methylguanine	CPD0-2377	C02242	28664	135398679	HMDB00897	10466634	 	MNXM14199	 	 	InChI=1S/C6H7N5O/c1-11-2-8-4-3(11)5(12)10-6(7)9-4/h2H,1H3,(H3,7,9,10,12)
Kegg:C0257	success	O-acetyl-L-carnitine	O-ACETYLCARNITINE	C02571	57589	7045767	HMDB00201	 	MTBLC57589	MNXM1028	 	cpd01682	InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1
Kegg:C0014	success	adenine	ADENINE	C00147	16708	190	HMDB00034	185	MTBLC16708	 	ade	 	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)
Kegg:C0021	success	adenosine	ADENOSINE	C00212	16335	60961	HMDB00050	18660726	MTBLC16335	MNXM212	adn	cpd00182	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1
Kegg:C0094	success	adenosine 2'-monophosphate	CPD-3705	C00946	77740	23421209	HMDB11617	10463792	 	MNXM7028	 	cpd00700	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(22-23(18,19)20)6(17)4(1-16)21-10/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/p-2/t4-,6-,7-,10-/m1/s1
Kegg:C0057	success	cyclic-AMP	CAMP	C00575	58165	7059571	HMDB00058	5415746	MTBLC58165	MNXM243	camp	cpd00446	InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/p-1/t4-,6-,7-,10-/m1/s1
Kegg:C0136	success	adenosine 3'-monophosphate	CPD-3706	C01367	60880	15938966	HMDB03540	10463793	MTBLC60880	MNXM1985	3amp	cpd00988	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(17)7(4(1-16)21-10)22-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/p-2/t4-,6-,7-,10-/m1/s1
Kegg:C0000	success	ADP	ADP	C00008	456216	7058055	HMDB01341	5414423	MTBLC456216	MNXM7	adp	cpd00008	InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/p-3/t4-,6-,7-,10-/m1/s1
Kegg:C0030	success	ADP-D-ribose	ADENOSINE_DIPHOSPHATE_RIBOSE	C00301	57967	49791958	HMDB01178	 	MTBLC57967	MNXM48596	adprib	 	InChI=1S/C15H23N5O14P2/c16-12-7-13(18-3-17-12)20(4-19-7)14-10(23)8(21)5(32-14)1-30-35(26,27)34-36(28,29)31-2-6-9(22)11(24)15(25)33-6/h3-6,8-11,14-15,21-25H,1-2H2,(H,26,27)(H,28,29)(H2,16,17,18)/p-2/t5-,6-,8-,9-,10-,11-,14-,15?/m1/s1
Kegg:C0002	success	AMP	AMP	C00020	456215	15938965	HMDB00045	10239183	MTBLC456215	 	amp	 	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/p-2/t4-,6-,7-,10-/m1/s1
Kegg:C0379	success	adenylo-succinate	ADENYLOSUCC	C03794	57567	46878398	HMDB00536	 	MTBLC57567	MNXM565	dcamp	cpd02375	InChI=1S/C14H18N5O11P/c20-7(21)1-5(14(24)25)18-11-8-12(16-3-15-11)19(4-17-8)13-10(23)9(22)6(30-13)2-29-31(26,27)28/h3-6,9-10,13,22-23H,1-2H2,(H,20,21)(H,24,25)(H,15,16,18)(H2,26,27,28)/p-4/t5?,6-,9-,10-,13-/m1/s1
Kegg:C1652	success	adrenate	CPD-17322	C16527	77225	40488826	 	 	 	MNXM5042	 	cpd16342	InChI=1S/C22H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-21H2,1H3,(H,23,24)/p-1/b7-6-,10-9-,13-12-,16-15-
Kegg:C0004	success	L-alanine	L-ALPHA-ALANINE	C00041	57972	7311724	HMDB00161	 	MTBLC57972	 	ala__L	 	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1
Kegg:C0235	success	(S)-(+)-allantoin	S-ALLANTOIN	C02350	15678	439714	 	388780	MTBLC15678	MNXM91795	alltn	cpd19020	InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)/t1-/m0/s1
Kegg:C0326	success	(R)-2-hydroxy-3-methylpentanoate	CPD-17912	C03264	59783	21131687	 	144317	 	 	 	 	InChI=1S/C6H12O3/c1-3-4(2)5(7)6(8)9/h4-5,7H,3H2,1-2H3,(H,8,9)/p-1/t4?,5-/m1/s1
Kegg:C0002	success	2-oxoglutarate	2-KETOGLUTARATE	C00026	16810	164533	HMDB00208	144236	MTBLC16810	MNXM20	akg	cpd00024	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2
Kegg:C0126	success	anserine	CPD-401	C01262	58445	6992114	HMDB00194	 	MTBLC18323	MNXM2639	 	cpd00926	InChI=1S/C10H16N4O3/c1-14-6-12-5-7(14)4-8(10(16)17)13-9(15)2-3-11/h5-6,8H,2-4,11H2,1H3,(H,13,15)(H,16,17)/t8-/m0/s1
Kegg:C0021	success	arachidonate	ARACHIDONIC_ACID	C00219	32395	5460265	HMDB01043	4573863	MTBLC32395	MNXM135	 	cpd00188	InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/p-1/b7-6-,10-9-,13-12-,16-15-
Kegg:C0006	success	L-arginine	ARG	C00062	32682	1549073	HMDB00517	1266045	MTBLC32682	MNXM70	arg__L	 	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/p+1/t4-/m0/s1
Kegg:C0007	success	L-ascorbate	ASCORBATE	C00072	38290	54679076	HMDB00044	102746	MTBLC38290	MNXM129	ascb__L	cpd00059	InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/p-1/t2-,5+/m0/s1
Kegg:C0015	success	L-asparagine	ASN	C00152	58048	6992089	HMDB00168	 	MTBLC58048	MNXM147	asn__L	 	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1
Kegg:C0004	success	L-aspartate	L-ASPARTATE	C00049	29991	5460294	HMDB00191	4573879	MTBLC29991	MNXM42	asp__L	 	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-1/t2-/m0/s1
Kegg:C0826	success	azelate	CPD0-1265	C08261	78208	3801344	HMDB00784	3028648	MTBLC48131	MNXM43148	 	cpd05177	InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)/p-2
Kegg:C0018	success	benzoate	BENZOATE	C00180	16150	242	HMDB01870	237	MTBLC16150	MNXM217	 	cpd00153	InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)/p-1
Kegg:C0071	success	glycine betaine	BETAINE	C00719	17750	247	HMDB00043	242	MTBLC17750	MNXM289	glyb	cpd00540	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3
Kegg:C0057	success	betaine aldehyde	BETAINE_ALDEHYDE	C00576	15710	249	HMDB01252	244	MTBLC15710	MNXM457	betald	cpd00447	InChI=1S/C5H12NO/c1-6(2,3)4-5-7/h5H,4H2,1-3H3/q+1
Kegg:C0631	success	L-erythro-biopterin	CPD-10819	C06313	63931	135403659	HMDB00468	13628150	MTBLC63931	MNXM59381	 	 	InChI=1S/C9H11N5O3/c1-3(15)6(16)4-2-11-7-5(12-4)8(17)14-9(10)13-7/h2-3,6,15-16H,1H3,(H3,10,11,13,14,17)/t3-,6-/m0/s1
Kegg:C0286	unknown	
Kegg:C0167	success	cadaverine	CADAVERINE	C01672	58384	3718401	HMDB02322	2949420	 	MNXM943	15dap	cpd01155	InChI=1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2/p+2
Kegg:C0158	success	hexanoate	HEXANOATE	C01585	17120	4398339	HMDB00535	3599616	 	MNXM1653	hxa	cpd01113	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/p-1
Kegg:C0642	success	octanoate	CPD-195	C06423	25646	119389	HMDB00482	106634	MTBLC25646	MNXM750	octa	cpd03846	InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)/p-1
Kegg:C0031	success	L-carnitine	CARNITINE	C00318	16347	10917	HMDB14721	10455	MTBLC16347	MNXM173	crn	 	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1
Kegg:C0038	success	carnosine	CARNOSINE	C00386	57485	6992100	HMDB00033	 	MTBLC15727	MNXM1419	 	cpd00310	InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1
Kegg:C0009	success	catechol	CATECHOL	C00090	18135	289	HMDB00957	13837760	MTBLC18135	 	 	 	InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H
Kegg:C0011	success	choline	CHOLINE	C00114	15354	305	HMDB00097	299	MTBLC15354	MNXM90	chol	cpd00098	InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1
Kegg:C0058	success	phosphocholine	PHOSPHORYL-CHOLINE	C00588	295975	3330960	HMDB01565	2578067	MTBLC295975	MNXM229	 	cpd00457	InChI=1S/C5H14NO4P/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3,(H-,7,8,9)/p-1
Kegg:C0015	success	citrate	CIT	C00158	16947	31348	HMDB00094	29081	MTBLC16947	MNXM131	cit	cpd00137	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3
Kegg:C0032	success	L-citrulline	L-CITRULLINE	C00327	57743	6992098	HMDB00904	 	MTBLC16349	MNXM211	citr__L	cpd00274	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1
Kegg:C0001	success	coenzyme A	CO-A	C00010	57287	25113190	HMDB01423	 	MTBLC57287	 	coa	 	InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/p-4/t11-,14-,15-,16+,20-/m1/s1
Kegg:C0030	success	creatine	CREATINE	C00300	57947	7058172	HMDB00064	5414502	MTBLC57947	MNXM400	 	cpd00250	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)
Kegg:C0230	success	Nomega-phosphocreatine	CREATINE-P	C02305	58092	7048563	HMDB01511	5408799	MTBLC58092	MNXM90130	 	cpd01550	InChI=1S/C4H10N3O5P/c1-7(2-3(8)9)4(5)6-13(10,11)12/h2H2,1H3,(H,8,9)(H4,5,6,10,11,12)/p-2
Kegg:C0079	success	creatinine	CREATININE	C00791	16737	137319715	HMDB00562	568	MTBLC16737	MNXM1470	 	cpd00585	InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)
Kegg:C0229	success	L-cystathionine	L-CYSTATHIONINE	C02291	58161	25243997	HMDB00099	 	MTBLC58161	MNXM319	cyst__L	cpd19019	InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)/t4-,5-/m0/s1
Kegg:C0009	success	L-cysteine	CYS	C00097	35235	6419722	HMDB00574	 	MTBLC35235	MNXM55	cys__L	 	InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1
Kegg:C0141	success	L-cysteinylglycine	CYS-GLY	C01419	61694	7098621	HMDB00078	 	MTBLC4047	MNXM683	cgly	cpd01017	InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1
Kegg:C0049	success	L-cystine	CYSTINE	C00491	35491	6992103	HMDB00192	 	MTBLC35491	MNXM927	 	cpd00381	InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1
Kegg:C0047	success	cytidine	CYTIDINE	C00475	17562	6175	HMDB00089	5940	MTBLC17562	MNXM338	cytd	cpd00367	InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1
Kegg:C0235	success	cytidine 2',3'-cyclic monophosphate	CPD-3713	C02354	60877	23421172	 	10463760	 	MNXM3148	23ccmp	cpd01571	InChI=1S/C9H12N3O7P/c10-5-1-2-12(9(14)11-5)8-7-6(4(3-13)17-8)18-20(15,16)19-7/h1-2,4,6-8,13H,3H2,(H,15,16)(H2,10,11,14)/p-1/t4-,6-,7-,8-/m1/s1
Kegg:C0582	success	cytidine-3'-monophosphate	CPD-3711	C05822	60875	7098661	 	5447162	 	MNXM2182	3cmp	cpd03454	InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-6(14)7(4(3-13)19-8)20-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/p-2/t4-,6-,7-,8-/m1/s1
Kegg:C0030	success	CDP-choline	CDP-CHOLINE	C00307	58779	25202509	HMDB01413	 	 	MNXM283	 	cpd00256	InChI=1S/C14H26N4O11P2/c1-18(2,3)6-7-26-30(22,23)29-31(24,25)27-8-9-11(19)12(20)13(28-9)17-5-4-10(15)16-14(17)21/h4-5,9,11-13,19-20H,6-8H2,1-3H3,(H3-,15,16,21,22,23,24,25)/p-1/t9-,11-,12-,13-/m1/s1
Kegg:C0005	success	CMP	CMP	C00055	60377	7058165	HMDB00095	5414497	MTBLC60377	MNXM31	cmp	cpd00046	InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/p-2/t4-,6-,7-,8-/m1/s1
Kegg:C0012	success	CMP-N-acetyl-beta-neuraminate	CMP-N-ACETYL-NEURAMINATE	C00128	57812	46878426	HMDB01176	 	MTBLC57812	MNXM141	 	cpd00112	InChI=1S/C20H31N4O16P/c1-7(26)22-12-8(27)4-20(18(32)33,39-16(12)13(29)9(28)5-25)40-41(35,36)37-6-10-14(30)15(31)17(38-10)24-3-2-11(21)23-19(24)34/h2-3,8-10,12-17,25,27-31H,4-6H2,1H3,(H,22,26)(H,32,33)(H,35,36)(H2,21,23,34)/p-2/t8-,9+,10+,12+,13+,14+,15+,16+,17+,20+/m0/s1
Kegg:C0057	success	CDP-ethanolamine	CDP-ETHANOLAMINE	C00570	57876	25202847	HMDB01564	 	MTBLC57876	MNXM449	 	cpd00444	InChI=1S/C11H20N4O11P2/c12-2-4-23-27(19,20)26-28(21,22)24-5-6-8(16)9(17)10(25-6)15-3-1-7(13)14-11(15)18/h1,3,6,8-10,16-17H,2,4-5,12H2,(H,19,20)(H,21,22)(H2,13,14,18)/p-1/t6-,8-,9-,10-/m1/s1
Kegg:C0542	success	dehydroascorbate	L-DEHYDRO-ASCORBATE	C05422	58070	49791981	HMDB01264	 	MTBLC58070	MNXM250	 	cpd00335	InChI=1S/C6H5O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,7-8H,1H2/q-1
Kegg:C0118	success	gamma-butyrobetaine	GAMMA-BUTYROBETAINE	C01181	16244	725	HMDB06831	705	MTBLC16244	MNXM626	gbbtn	cpd00870	InChI=1S/C7H15NO2/c1-8(2,3)6-4-5-7(9)10/h4-6H2,1-3H3
