Input	Result	BioCyc Common-Name	BioCyc	Kegg	ChEBI	PubChem	HMDB	ChemSpider	MetaboLights	MetaNetX	BiGG	Seed	Inchi
Kegg:C08269	success	trans-4-hydroxy-L-proline betaine	CPD-17183	C08269	85533	164642	HMDB29412	 	 	MNXM30262	 	cpd05185	InChI=1S/C7H13NO3/c1-8(2)4-5(9)3-6(8)7(10)11/h5-6,9H,3-4H2,1-2H3/t5-,6+/m1/s1
Kegg:C00120	success	biotin	BIOTIN	C00120	57586	6560210	HMDB00030	5028036	MTBLC57586	MNXM304	btn	cpd00104	InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/p-1/t6-,7-,9-/m0/s1
Kegg:C00246	success	butanoate	BUTYRIC_ACID	C00246	17968	104775	HMDB00039	94582	MTBLC17968	MNXM458	but	cpd00211	InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/p-1
Kegg:C01672	success	cadaverine	CADAVERINE	C01672	58384	3718401	HMDB02322	2949420	 	MNXM943	15dap	cpd01155	InChI=1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2/p+2
Kegg:C00438	success	N-carbamoyl-L-aspartate	CARBAMYUL-L-ASPARTATE	C00438	32814	5460257	HMDB00828	10718031	MTBLC32814	MNXM465	cbasp	cpd00343	InChI=1S/C5H8N2O5/c6-5(12)7-2(4(10)11)1-3(8)9/h2H,1H2,(H,8,9)(H,10,11)(H3,6,7,12)/p-2/t2-/m0/s1
Kegg:C00318	success	L-carnitine	CARNITINE	C00318	16347	10917	HMDB14721	10455	MTBLC16347	MNXM173	crn	 	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1
Kegg:C00386	success	carnosine	CARNOSINE	C00386	57485	6992100	HMDB00033	 	MTBLC15727	MNXM1419	 	cpd00310	InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1
Kegg:C02256	success	castanospermine	CPD-14609	C02256	27860	24916955	 	 	MTBLC27860	MNXM45777	 	cpd01521	InChI=1S/C8H15NO4/c10-4-1-2-9-3-5(11)7(12)8(13)6(4)9/h4-8,10-13H,1-3H2/p+1/t4-,5-,6+,7+,8+/m0/s1
Kegg:C00695	success	cholate	CHOLATE	C00695	29747	5460314	HMDB00619	4573890	MTBLC29747	MNXM450	 	cpd00526	InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/p-1/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1
Kegg:C00114	success	choline	CHOLINE	C00114	15354	305	HMDB00097	299	MTBLC15354	MNXM90	chol	cpd00098	InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1
Kegg:C00417	success	cis-aconitate	CIS-ACONITATE	C00417	16383	5459816	HMDB00072	4573582	MTBLC16383	MNXM813	acon_C	cpd00331	InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/p-3/b3-1-
Kegg:C02226	success	citraconate	2-METHYLMALEATE	C02226	30719	5461090	HMDB00634	 	 	MNXM2356	 	cpd01502	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h2H,1H3,(H,6,7)(H,8,9)/p-2/b3-2-
Kegg:C02614	success	(S)-citramalate	S-CITRAMALATE	C02614	30936	5460279	 	4573871	 	MNXM1236	 	cpd01701	InChI=1S/C5H8O5/c1-5(10,4(8)9)2-3(6)7/h10H,2H2,1H3,(H,6,7)(H,8,9)/p-2/t5-/m0/s1
Kegg:C00327	success	L-citrulline	L-CITRULLINE	C00327	57743	6992098	HMDB00904	 	MTBLC16349	MNXM211	citr__L	cpd00274	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1
Kegg:C00055	success	CMP	CMP	C00055	60377	7058165	HMDB00095	5414497	MTBLC60377	MNXM31	cmp	cpd00046	InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/p-2/t4-,6-,7-,8-/m1/s1
Kegg:C00300	success	creatine	CREATINE	C00300	57947	7058172	HMDB00064	5414502	MTBLC57947	MNXM400	 	cpd00250	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)
Kegg:C00791	success	creatinine	CREATININE	C00791	16737	137319715	HMDB00562	568	MTBLC16737	MNXM1470	 	cpd00585	InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)
Kegg:C00571	success	cyclohexylamine	CPD-303	C00571	42939	1549093	HMDB31404	1266061	 	MNXM2010	 	cpd00445	InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2/p+1
Kegg:C00506	success	L-cysteate	L-CYSTEATE	C00506	58090	7140381	HMDB02757	5482600	MTBLC58090	MNXM713	 	cpd00395	InChI=1S/C3H7NO5S/c4-2(3(5)6)1-10(7,8)9/h2H,1,4H2,(H,5,6)(H,7,8,9)/p-1/t2-/m0/s1
Kegg:C05824	success	S-sulfo-L-cysteine	SULFO-CYSTEINE	C05824	62225	25203408	HMDB00731	 	 	MNXM2428	 	cpd03456	InChI=1S/C3H7NO5S2/c4-2(3(5)6)1-10-11(7,8)9/h2H,1,4H2,(H,5,6)(H,7,8,9)/p-1/t2-/m0/s1
Kegg:C00491	success	L-cystine	CYSTINE	C00491	35491	6992103	HMDB00192	 	MTBLC35491	MNXM927	 	cpd00381	InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1
Kegg:C00475	success	cytidine	CYTIDINE	C00475	17562	6175	HMDB00089	5940	MTBLC17562	MNXM338	cytd	cpd00367	InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1
Kegg:C00380	success	cytosine	CYTOSINE	C00380	16040	597	HMDB00630	577	MTBLC16040	MNXM761	csn	cpd00307	InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)
Kegg:C01571	success	decanoate	CPD-3617	C01571	27689	4678093	HMDB00511	3866366	MTBLC27689	MNXM1043	dca	cpd01107	InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)/p-1
Kegg:C06772	unknown	
Kegg:C00429	success	5,6-dihydrouracil	DI-H-URACIL	C00429	15901	649	HMDB00076	629	MTBLC15901	MNXM506	 	cpd00337	InChI=1S/C4H6N2O2/c7-3-1-2-5-4(8)6-3/h1-2H2,(H2,5,6,7,8)
Kegg:C02678	success	dodecanedioate	CPD-10670	C02678	76273	6991984	HMDB00623	12213	MTBLC4676	MNXM51465	 	cpd01740	InChI=1S/C12H22O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H2,(H,13,14)(H,15,16)/p-2
Kegg:C02679	success	laurate	DODECANOATE	C02679	18262	4149208	HMDB00638	3361474	MTBLC18262	MNXM402	 	cpd01741	InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)/p-1
Kegg:C00355	success	L-dopa	L-DIHYDROXY-PHENYLALANINE	C00355	57504	6971033	HMDB00181	 	MTBLC57504	MNXM279	 	cpd00291	InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1
Kegg:C03758	success	dopamine	DOPAMINE	C03758	59905	3713609	HMDB00073	2944843	MTBLC59905	MNXM205	dopa	cpd02357	InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2/p+1
Kegg:C00364	success	dTMP	TMP	C00364	63528	16755631	HMDB01227	10239189	MTBLC63528	MNXM257	dtmp	cpd00298	InChI=1S/C10H15N2O8P/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(20-8)4-19-21(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,11,14,15)(H2,16,17,18)/p-2/t6-,7+,8+/m0/s1
Kegg:C00346	success	O-phosphoethanolamine	PHOSPHORYL-ETHANOLAMINE	C00346	58190	7059434	HMDB00224	5415641	MTBLC58190	MNXM187	 	cpd00285	InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)/p-1
Kegg:C00085	success	D-fructofuranose 6-phosphate	CPD-18719	C00085	61527	23421195	 	 	 	MNXM162235	 	cpd00072	InChI=1S/C6H13O9P/c7-2-6(10)5(9)4(8)3(15-6)1-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/p-2/t3-,4-,5+,6?/m1/s1
Kegg:C00122	success	fumarate	FUM	C00122	29806	5460307	HMDB00134	4573886	MTBLC29806	MNXM93	fum	cpd00106	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1+
Kegg:C00103	success	D-glucose 1-phosphate	D-glucose-1-phosphates	C00103	57629	 	 	 	 	 	 	 	InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/p-2/t2-,3-,4+,5-,6?/m1/s1
Kegg:C00092	success	D-glucopyranose 6-phosphate	D-glucopyranose-6-phosphate	C00092	4170	 	 	 	 	MNXM160	 	 	InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/p-2/t2-,3-,4+,5-,6?/m1/s1
Kegg:C00334	success	4-aminobutanoate	4-AMINO-BUTYRATE	C00334	59888	6992099	HMDB00112	 	MTBLC59888	MNXM192	4abut	cpd00281	InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)
Kegg:C01181	success	gamma-butyrobetaine	GAMMA-BUTYROBETAINE	C01181	16244	725	HMDB06831	705	MTBLC16244	MNXM626	gbbtn	cpd00870	InChI=1S/C7H15NO2/c1-8(2,3)6-4-5-7(9)10/h4-6H2,1-3H3
Kegg:C01035	success	4-guanidinobutanoate	CPD-592	C01035	57486	25200642	HMDB03464	 	MTBLC57486	MNXM1312	 	cpd00762	InChI=1S/C5H11N3O2/c6-5(7)8-3-1-2-4(9)10/h1-3H2,(H,9,10)(H4,6,7,8)
Kegg:C00064	success	L-glutamine	GLN	C00064	58359	6992086	HMDB00641	 	MTBLC58359	MNXM37	gln__L	 	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1
Kegg:C00025	success	L-glutamate	GLT	C00025	29985	5460299	HMDB00148	4573882	MTBLC29985	 	glu__L	 	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1
Kegg:C03752	success	2-amino-2-deoxy-D-gluconate	GLUCOSAMINATE	C03752	58269	40418670	 	 	MTBLC58269	MNXM2469	 	cpd02351	InChI=1S/C6H13NO6/c7-3(6(12)13)5(11)4(10)2(9)1-8/h2-5,8-11H,1,7H2,(H,12,13)/t2-,3-,4-,5-/m1/s1
Kegg:C00329	success	D-glucosamine	GLUCOSAMINE	C00329	58723	45266741	HMDB01514	 	 	MNXM533	 	 	InChI=1S/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2/p+1/t2-,3-,4-,5-,6?/m1/s1
Kegg:C00191	success	D-glucuronate	GLUCURONATE	C00191	58720	16740916	HMDB00127	 	 	 	glcur	 	InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h1-5,8-11H,(H,12,13)/p-1/t2-,3+,4-,5-/m0/s1
Kegg:C01425	success	L-glutamyl-L-glutamate	CPD-13219	C01425	5390	6991968	HMDB28818	 	 	MNXM724756	 	cpd01021	InChI=1S/C10H16N2O7/c11-5(1-3-7(13)14)9(17)12-6(10(18)19)2-4-8(15)16/h5-6H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/p-2/t5-,6-/m0/s1
Kegg:C00489	success	glutarate	GLUTARATE	C00489	30921	4418048	HMDB00661	3618533	 	MNXM1021	 	cpd00379	InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)/p-2
Kegg:C00127	success	glutathione disulfide	OXIDIZED-GLUTATHIONE	C00127	58297	40467895	HMDB03337	 	MTBLC58297	MNXM151	gthox	cpd00111	InChI=1S/C20H32N6O12S2/c21-9(19(35)36)1-3-13(27)25-11(17(33)23-5-15(29)30)7-39-40-8-12(18(34)24-6-16(31)32)26-14(28)4-2-10(22)20(37)38/h9-12H,1-8,21-22H2,(H,23,33)(H,24,34)(H,25,27)(H,26,28)(H,29,30)(H,31,32)(H,35,36)(H,37,38)/p-2/t9-,10-,11-,12-/m0/s1
Kegg:C00037	success	glycine	GLY	C00037	57305	5257127	HMDB00123	730	MTBLC15428	MNXM29	gly	cpd00033	InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)
Kegg:C00093	success	sn-glycerol 3-phosphate	GLYCEROL-3P	C00093	57597	7048686	HMDB00126	2939444	MTBLC57597	MNXM66	glyc3p	cpd00080	InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/p-2/t3-/m1/s1
Kegg:C00670	unknown	
Kegg:C01921	success	glycocholate	GLYCOCHOLIC_ACID	C01921	29746	5460316	HMDB00138	4573891	MTBLC29746	MNXM1560	 	cpd01318	InChI=1S/C26H43NO6/c1-14(4-7-22(31)27-13-23(32)33)17-5-6-18-24-19(12-21(30)26(17,18)3)25(2)9-8-16(28)10-15(25)11-20(24)29/h14-21,24,28-30H,4-13H2,1-3H3,(H,27,31)(H,32,33)/p-1/t14-,15+,16-,17-,18+,19+,20-,21+,24+,25+,26-/m1/s1
Kegg:C02037	success	glycyl-glycine	GLYCYLGLYCINE	C02037	356445	1548897	HMDB11733	 	MTBLC356445	 	 	 	InChI=1S/C4H8N2O3/c5-1-3(7)6-2-4(8)9/h1-2,5H2,(H,6,7)(H,8,9)
Kegg:C02155	success	glycyl-L-leucine	CPD-12312	C02155	143163	1548899	HMDB00759	 	MTBLC73514	MNXM126241	 	 	InChI=1S/C8H16N2O3/c1-5(2)3-6(8(12)13)10-7(11)4-9/h5-6H,3-4,9H2,1-2H3,(H,10,11)(H,12,13)/t6-/m0/s1
Kegg:C00581	success	guanidinoacetate	GUANIDOACETIC_ACID	C00581	57742	3946848	HMDB00128	 	MTBLC57742	MNXM587	 	cpd00451	InChI=1S/C3H7N3O2/c4-3(5)6-1-2(7)8/h1H2,(H,7,8)(H4,4,5,6)
Kegg:C03139	success	N-amidino-L-aspartate	CPD-599	C03139	58005	25203050	HMDB03157	 	 	MNXM4057	 	cpd02008	InChI=1S/C5H9N3O4/c6-5(7)8-2(4(11)12)1-3(9)10/h2H,1H2,(H,9,10)(H,11,12)(H4,6,7,8)/p-1/t2-/m0/s1
Kegg:C00242	success	guanine	GUANINE	C00242	16235	135398634	HMDB00132	744	MTBLC16235	MNXM259	gua	cpd00207	InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)
Kegg:C00387	success	guanosine	GUANOSINE	C00387	16750	135398635	HMDB00133	6544	MTBLC16750	MNXM401	gsn	cpd00311	InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1
Kegg:C09209	success	harman	CPD66-92	C09209	5623	5281404	HMDB35196	 	MTBLC5623	MNXM11747	 	cpd06104	InChI=1S/C12H10N2/c1-8-12-10(6-7-13-8)9-4-2-3-5-11(9)14-12/h2-7,14H,1H3
Kegg:C17714	success	heptanoate	CPD-7619	C17714	32362	93052	HMDB00666	84004	 	MNXM7416	 	cpd15608	InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)/p-1
Kegg:C01585	success	hexanoate	HEXANOATE	C01585	17120	4398339	HMDB00535	3599616	 	MNXM1653	hxa	cpd01113	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/p-1
Kegg:C08306	success	hexylamine	CPD-10098	C08306	5712	6992045	HMDB32323	5360206	MTBLC5712	MNXM56491	 	cpd05221	InChI=1S/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3/p+1
Kegg:C01586	success	hippurate	CPD-425	C01586	606565	4402710	HMDB00714	3603822	MTBLC606565	MNXM1577	 	 	InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)/p-1
Kegg:C00135	success	L-histidine	HIS	C00135	57595	6971009	HMDB00177	 	MTBLC57595	MNXM134	his__L	 	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1
Kegg:C00388	success	histamine	HISTAMINE	C00388	58432	25201573	HMDB00870	 	MTBLC58432	MNXM635	 	cpd00312	InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)/p+1
Kegg:C00860	success	histidinol	HISTIDINOL	C00860	57699	6950298	HMDB03431	 	 	MNXM1281	histd	cpd00641	InChI=1S/C6H11N3O/c7-5(3-10)1-6-2-8-4-9-6/h2,4-5,10H,1,3,7H2,(H,8,9)/p+1/t5-/m0/s1
Kegg:C00884	success	homocarnosine	CPD-12185	C00884	143075	90657684	HMDB00745	 	 	MNXM56612	 	cpd00657	InChI=1S/C10H16N4O3/c11-3-1-2-9(15)14-8(10(16)17)4-7-5-12-6-13-7/h5-6,8H,1-4,11H2,(H,12,13)(H,14,15)(H,16,17)/t8-/m0/s1
Kegg:C00263	success	L-homoserine	HOMO-SER	C00263	57476	6971022	HMDB00719	 	MTBLC57476	MNXM353	hom__L	cpd00227	InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)/t3-/m0/s1
Kegg:C05582	success	homovanillate	CPD-7651	C05582	133744	6950168	HMDB00118	5323114	 	MNXM3287	 	cpd03312	InChI=1S/C9H10O4/c1-13-8-4-6(5-9(11)12)2-3-7(8)10/h2-4,10H,5H2,1H3,(H,11,12)/p-1
