,Pathway_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
R-BTA-140875,Common Pathway of Fibrin Clot Formation,140420,140421,18085,29108,68579,72296,85973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-141333,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,15377,15379,16134,16238,16240,28790,50157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1433557,Signaling by SCF-KIT,15996,16618,17552,18348,30616,456216,50924,63450,68647,85994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1433559,Regulation of KIT signaling,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1442490,Collagen degradation,15377,16134,16752,17917,43474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1461957,Beta defensins,62643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",15266,15372,15377,15996,17804,18372,29105,30616,30751,456216,58095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1475029,Reversible hydration of carbon dioxide,15377,15378,16526,17544,29105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1482788,Acyl chain remodelling of PC,15346,15377,16110,16728,17476,17504,17810,17984,29108,35746,36313,36314,57560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1482798,Acyl chain remodeling of CL,15346,16038,16110,17504,17984,28494,29017,60430,60431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1482801,Acyl chain remodelling of PS,15346,15377,17526,17984,18303,29108,37646,52603,57560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1482839,Acyl chain remodelling of PE,15346,15377,16038,16110,17984,22221,28936,29017,29108,52571,57560,58168,61232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1482883,Acyl chain remodeling of DAG and TAG,15346,15377,17389,17408,17754,17815,17855,17984,35366,57560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1482922,Acyl chain remodelling of PI,15346,15377,16749,17984,28914,29108,57560,62746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1482925,Acyl chain remodelling of PG,15346,15377,17517,17984,27923,29108,57560,62747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1483076,Synthesis of CL,17361,17517,17962,28494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1483101,Synthesis of PS,15354,16000,16038,16110,18303,33384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1483115,Hydrolysis of LPC,15377,16728,16870,17504,57560,60479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1483148,Synthesis of PG,16337,17677,17962,29888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1483166,Synthesis of PA,15346,15354,15377,15378,15978,16110,16337,16975,17517,17984,28494,29105,29108,30879,43474,57540,57560,57642,57945,7794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1483191,Synthesis of PC,15346,15351,15354,15355,15377,16110,16337,17815,18420,29101,30616,36700,43474,456216,64567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1483206,Glycerophospholipid biosynthesis,16247,16337,17408,17815,18420,29108,30616,456216,52288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1483213,Synthesis of PE,15343,15377,16000,16038,16134,16337,16732,17361,17553,17677,17815,18420,29035,29888,30616,43474,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1483226,Synthesis of PI,16337,16749,17268,17361,17677,17962,18420,29035,29888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1483248,Synthesis of PIPs at the ER membrane,16749,17526,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1483255,PI Metabolism,16618,18348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1489509,DAG and IP3 signaling,18035,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1502540,Signaling by Activin,30616,456216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-156581,Methylation,14597,15377,15378,15379,15414,16005,16223,16474,16680,16842,16856,17858,18009,18420,2208,28279,29103,29866,29888,30616,43474,57844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-156582,Acetylation,15346,15351,16395,16580,25858,27565,30753,32643,45373,6030,63815,63817,63845,7207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-156584,Cytosolic sulfonation of small molecules,15377,15882,16027,16113,16325,16469,16580,16581,16814,16836,17179,17263,17474,17703,17864,17931,17980,17985,18243,18420,27905,28689,28774,30772,32635,32701,35419,35420,35421,35422,35424,35430,35431,35432,37946,41321,43474,46195,4866,49713,85867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-156588,Glucuronidation,15377,15748,16427,168396,16990,17200,17659,17688,18392,32663,41774,63860,64689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-156590,Glutathione conjugation,16474,16856,17883,18009,2505,27561,29132,30614,30725,32639,34479,34718,35896,81626,87752,8927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-156902,Peptide chain elongation,15996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1592389,Activation of Matrix Metalloproteinases,24505,37397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-159418,Recycling of bile acids and salts,15346,15377,15519,16027,16325,16359,16525,16755,17687,28701,28834,28865,29101,29888,30616,36274,9407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-BTA-1614517,Sulfide oxidation to sulfate,15377,15378,15379,16094,16136,16189,16240,16856,17359,17858,25372,29105,30797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
